Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Deptford,Deptford,DEPT,5431,NK16BYO,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5432,NK16BYP,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5433,NK16BYR,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5434,NK16BYS,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5435,NK16BYT,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5436,NK16BXZ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5437,NK16BWY,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5438,NK16BWZ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5439,NK16AZU,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5440,NK16AZV,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5441,NK16AZW,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5526,SK63KHG,Wrightbus Streetlite DF Streetlite OM934 D624.6E 10.8 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5527,SK63KHL,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,6001,NK11BGZ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6086,NL63YHO,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6087,NL63YHP,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6088,NL63YHR,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6089,NL63YHS,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6090,NL63YHT,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6091,NL63YHU,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6092,NL63YHV,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6093,NL63YHW,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6094,NL63YHX,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6095,NL63YHY,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6096,NL63YHZ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6097,NL63YJA,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6098,NL63YJB,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6099,NL63YJC,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6159,LJ62KYG,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6160,LJ62KZD,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6161,LJ62KZP,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6201,LX59CYC,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6202,LX59CYE,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6203,LX59CYF,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6204,LX59CYP,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6205,LX59CYS,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6308,NK67ECD,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6309,NK67ECE,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6310,NK67EBC,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6312,NK67EBF,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6313,NK67EBG,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,6314,NK67EBJ,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,8313,NK10GOC,Optare Versa V1110 Versa ISBe6 S2100 11.1 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,8334,NK11HJE,Optare Versa V1110 Versa ISBe6 S2100 11.1 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,8335,NK11HJF,Optare Versa V1110 Versa ISBe6 S2100 11.1 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,8339,NL63XBH,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 10.8 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,8340,NL63XBJ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 10.8 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,8341,NL63XBK,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 10.8 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Deptford,Deptford,DEPT,5528,NK16BYL,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5529,NK16BYM,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5530,NK16BYN,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5531,NK16BYO,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5532,NK16BYP,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5533,NK16BYR,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5534,NK16BYS,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5535,NK16BYT,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5536,NK16BXZ,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,5537,NK16BWY,Wrightbus Streetlite DF Streetlite ISBe5 D854.5E 11.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,6311,NK67EBD,Volvo B5TL Eclipse Gemini 2 D5K240 6AP1003B 10.4 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Deptford,Deptford,DEPT,638,NK12HCE,Optare Solo SR Solo SR OM904LA S2100 9 5 (SCRT Emisssions Upgrade to Euro 6),Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8348,SK63GAA,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8349,WX12GDO,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8350,WX12GDU,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8351,WX12GDV,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8352,WX12GDY,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8353,WX12GDZ,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Deptford,Deptford,DEPT,8354,WX12GEJ,Wrightbus Streetlite DF Streetlite ISBe5 D823.3E 10.5 5,Single Deck,Stage Carriage,,SDD,,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,690,NK66CXF,Optare Solo SR Solo SR OM904LA S2100 9.2 5,Single Deck,Stage Carriage,,MBD,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,730,NK69FAF,Mercedes Sprinter Atlas 516 340 7.3 6,Minibus,Stage Carriage,,MBD,MBD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,1001,T488TTW,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,1067,EY67WUH,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,1107,EK66CWE,Ancillary,Ancillary,Ancillary,,AND,AND,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3941,NK05GZO,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Go North East Reserve Fleet,GNERF,3942,NK05GZP,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3943,NK05GZR,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3962,NK06JXE,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3963,NK06JXD,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3964,NK06JXC,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,3965,NK06JXB,Volvo B7TL Eclipse Gemini D7C 6HP500 10.7 3,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5210,NK54NVE,Scania L94UB Solar DC901 4HP502 12 3,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5243,NK56KHM,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5244,NK56KHO,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5245,NK56KHP,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5246,NK56KHR,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5254,NK56KJA,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5255,NK56KJE,Scania CN230UB Omnicity DC916 5HP502 12 4,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5381,NL63YAG,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5382,NL63YAH,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5383,NL63YAJ,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5384,NL63YAK,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5385,NL63YAO,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5386,NL63YAU,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5387,NL63YAV,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5388,NL63YAW,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5389,NL63YAX,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5390,NL63YAY,Optare Versa V1170 Versa ISBe6 S2100 11.7 5,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5488,NK69FAU,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5491,NK69FBC,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5498,NK69FBN,ADL Enviro 200 Enviro 200 ISB4.5 D824.6 11.6 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5499,YH66VMO,Yutong CB12 E11 ISB6.7 Ecolife 12 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5500,YD70CDZ,Yutong CB12 E11 ISB6.7 Ecolife 12 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5511,SM13NBA,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5512,SM13NBB,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5513,SM13NDK,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5514,SM13NDL,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5515,SM13NDN,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5517,SM13NDU,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5518,SM13NDV,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5519,SM13NDX,Wrightbus Streetlite DF Streetlite OM934 D624.6E 10.8 6,Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Bensham Head Office,Gateshead Riverside,BENH,5520,SM13NDY,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,Bensham HO - TRN,TRN-VEH,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5522,SM13NEF,Wrightbus Streetlite DF Streetlite OM934 D624.6E 10.8 6,Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5523,SM13NEN,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5524,SM13NEY,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5525,SK63KHF,Wrightbus Streetlite DF Streetlite DF ISBe4 DIWA 11.6 5 (SCRT Emissions upgrade to Euro 6),Single Deck,Stage Carriage,,SDD,SDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5801,NL72ETR,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5802,NL72ETT,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5803,NL72ETU,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5804,NL72ETV,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5805,NL72EUA,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5806,NL72EUB,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5807,NL72EUC,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5808,NL72EUD,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,5809,NL72EUE,Yutong E12 E12 12,Single Deck - Electric,Stage Carriage,,SDE,SDE,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6002,NK11BHA,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6003,NK11BHD,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6004,NK11BHE,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6005,NK11BHF,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6006,NK11BHJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6007,NK11BHL,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6049,NK12GDA,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6050,NK12GDE,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6051,NK12GDF,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6052,NK12GDJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6053,NK12GDO,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6054,NK62EKD,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6055,NK62EJF,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6071,NK62FAA,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6076,NK62FEU,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6077,NK62FGJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Gateshead Riverside,Gateshead Riverside,RIVE,6078,NK62FHE,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
