Depot,Allocated Depot,OperatingDepotCode,FleetNo,RegNumber,VehicleType Equinox,VehicleGroupDescription,VehicleAllocation,Branding,Service Specific Vehicle Type,Vehicle Class(HxGN),,,,,,,
Consett (ex Stanley),Consett,CONS,6157,LJ62KXZ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6177,SN57DFJ,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6179,SN57DFU,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6180,SN57DFV,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6181,SN57DFX,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Go North East Reserve Fleet,GNERF,6182,SN57DFY,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.5 5 EEV,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6183,MX07BRF,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6184,MX07BRV,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6185,MX07BRZ,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6189,MX07BUE,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6190,MX07BUU,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6191,MX07BUV,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6192,MX57HDZ,Volvo B9TL Eclipse Gemini D9B Ecolife 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6195,YX08FWG,Volvo B9TL Eclipse Gemini D9B 6AP1200B 10.4 4,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6216,LX59CZF,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6217,LX59CZG,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6218,LX59CZH,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6221,LX59CZR,Volvo B9TL Eclipse Gemini 2 D9B 6AP1403B Ecolife 10.4 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6232,SN61BGF,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6233,SN61BGK,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6234,SN61BGO,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6235,SN61BGU,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6236,SN61BGV,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6237,SN61BGX,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6238,SN61BGY,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6239,SN61BGZ,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6240,SN61BHA,ADL Enviro 400 Enviro 400 ISBe6 6HP1203B 10.1 5 EEV (SCRT Emissions Upgrade to Euro 6),Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6336,YX64VOO,ADL Enviro 400 MMC Enviro 400 MMC ISB4.5 6AP1200B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6337,YY64GWX,ADL Enviro 400 MMC Enviro 400 MMC ISB4.5 6AP1200B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6338,YX69NPA,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6339,YX69NPC,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6340,YX69NPD,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
Consett (ex Stanley),Consett,CONS,6341,YX20OKA,ADL Enviro 400 MMC Enviro 400 MMC ISBe6.7 6AP1203B 10.9 6,Double Decker,Stage Carriage,,DDD,DDD,,,,,,,
